Code,Title,Description,ItemDescriptions,CrossReferences
315280,Other Cut and Sew Apparel Manufacturing ,"This industry comprises establishments primarily engaged in manufacturing cut and sew apparel from purchased fabric (except men's, boys', women's, girls', and infants’ apparel).  Clothing jobbers for these products, who perform entrepreneurial functions involved in apparel manufacture, including buying raw materials, designing and preparing samples, arranging for apparel to be made from their materials, and marketing finished apparel, are included.  Examples of products made by these establishments are fur or leather apparel, sheep-lined clothing, team athletic uniforms, band uniforms, academic caps and gowns, clerical vestments, and costumes.

Cross-References. Establishments primarily engaged in--","Apparel, fur (except apparel contractors), manufacturing Athletic uniforms, team, cut and sewn from purchased fabric (except apparel contractors) Band uniforms cut and sewn from purchased fabric (except apparel contractors) Baseball uniforms cut and sewn from purchased fabric (except apparel contractors) Basketball uniforms cut and sewn from purchased fabric (except apparel contractors) Burial garments cut and sewn from purchased fabric (except apparel contractors) Capes, fur (except apparel contractors), manufacturing Capes, waterproof (e.g., plastics, rubber, similar materials), cut and sewn from purchased fabric (except apparel contractors) Caps and gowns, academic, cut and sewn from purchased fabric (except apparel contractors) Caps, fur (except apparel contractors), manufacturing Caps, leather (except apparel contractors), manufacturing Clerical vestments cut and sewn from purchased fabric (except apparel contractors) Clothing, fur (except apparel contractors), manufacturing Clothing, leather or sheep-lined (except apparel contractors), manufacturing Clothing, waterproof, cut and sewn from purchased fabric (except apparel contractors) Coat linings, fur (except apparel contractors), manufacturing Coats (including tailored), leather or sheep-lined (except apparel contractors), manufacturing Coats, artificial leather, cut and sewn from purchased fabric (except apparel contractors) Coats, fur (except apparel contractors), manufacturing Coats, leather (except apparel contractors), manufacturing Coats, waterproof (e.g., plastics, rubberized fabric, similar materials), cut and sewn from purchased fabric (except apparel contractors) Coats, waterproof (e.g., plastics, rubberized fabric, similar materials), rubberizing fabric and manufacturing coats Costumes (e.g., lodge, masquerade, theatrical) cut and sewn from purchased fabric (except apparel contractors) Fur accessories and trimmings (except apparel contractors) manufacturing Fur apparel (e.g., capes, coats, hats, jackets, neckpieces) (except apparel contractors) manufacturing Fur clothing (except apparel contractors) manufacturing Fur plates and trimmings (except apparel contractors) manufacturing Garments, leather or sheep-lined (except apparel contractors), manufacturing Glazing furs Glove linings, fur (except apparel contractors), manufacturing Gowns (e.g., academic, choir, clerical) cut and sewn from purchased fabric (except apparel contractors) Gowns, hospital, surgical and patient, cut and sewn from purchased fabric (except apparel contractors) Graduation caps and gowns cut and sewn from purchased fabric (except apparel contractors) Hats, fur (except apparel contractors), manufacturing Hats, leather (except apparel contractors), manufacturing Jackets, fur (except apparel contractors), manufacturing Jackets, leather (except welders') or sheep-lined (except apparel contractors), manufacturing Leather apparel (e.g., capes, coats, hats, jackets) (except apparel contractors) manufacturing Leather clothing (except apparel contractors) manufacturing Neckpieces, fur (except apparel contractors), manufacturing Pants, leather (except apparel contractors), manufacturing Pants, rubber and rubberized fabric, made in the same establishment as the basic material Pants, vulcanized rubber, manufacturing Pants, waterproof outerwear, cut and sewn from purchased fabric (except apparel contractors) Plastics gowns cut and sewn from purchased fabric (except apparel contractors) Plastics rainwear cut and sewn from purchased fabric (except apparel contractors) Pointing furs Ponchos and similar waterproof raincoats cut and sewn from purchased fabric (except apparel contractors) Prayer shawls cut and sewn from purchased fabric (except apparel contractors) Raincoats, rubber or rubberized fabric, manufacturing Raincoats, waterproof, cut and sewn from purchased fabric (except apparel contractors) Sport coats, fur (except apparel contractors), manufacturing Sport coats, leather (including artificial and tailored) (except apparel contractors), manufacturing Sports clothing, team uniforms, cut and sewn from purchased fabric (except apparel contractors) Sweat bands cut and sewn from purchased fabric (except apparel contractors) Team athletic uniforms cut and sewn from purchased fabric (except apparel contractors) Theatrical costumes cut and sewn from purchased fabric (except apparel contractors) Trimmings, fur (except apparel contractors), manufacturing Uniform shirts, team athletic, cut and sewn from purchased fabric (except apparel contractors) Uniforms, band, cut and sewn from purchased fabric (except apparel contractors) Uniforms, team athletic, cut and sewn from purchased fabric (except apparel contractors) Vestments, academic and clerical, cut and sewn from purchased fabric (except apparel contractors) Vests, leather, fur, or sheep-lined (except apparel contractors), manufacturing Waterproof outerwear cut and sewn from purchased fabric (except apparel contractors) Waterproof outerwear, rubberizing fabric and manufacturing outerwear","Manufacturing men's and boys' apparel from purchased fabric--are classified in Industry 315220, Men's and Boys' Cut and Sew Apparel Manufacturing; Manufacturing women's, girls', and infants’ apparel from purchased fabric--are classified in Industry 315240, Women's, Girls', and Infants’ Cut and Sew Apparel Manufacturing; Knitting apparel or knitting fabric and manufacturing apparel--are classified in Industry Group 3151, Apparel Knitting Mills; Cutting and/or sewing materials owned by others for apparel--are classified in Industry 315210, Cut and Sew Apparel Contractors; Manufacturing fur and leather mittens and gloves--are classified in Industry 315990, Apparel Accessories and Other Apparel Manufacturing; and Dyeing and dressing furs--are classified in Industry 316110, Leather and Hide Tanning and Finishing."
315990,Apparel Accessories and Other Apparel Manufacturing ,"This industry comprises establishments primarily engaged in manufacturing apparel and accessories (except apparel knitting mills, cut and sew apparel contractors, men's and boys' cut and sew apparel, women’s, girls', and infants’ cut and sew apparel, and other cut and sew apparel).  Jobbers, who perform entrepreneurial functions involved in apparel accessories manufacture, including buying raw materials, designing and preparing samples, arranging for apparel accessories to be made from their materials, and marketing finished apparel accessories, are included.  Examples of products made by these establishments are belts, caps, gloves (except medical, sporting, safety), hats, and neckties.

Cross-References. Establishments primarily engaged in--","Apparel findings and trimmings cut and sewn from purchased fabric (except apparel contractors) Aprons, waterproof (e.g., plastics, rubberized fabric), rubberizing fabric and manufacturing aprons Aprons, waterproof (including rubberized fabric, plastics), cut and sewn from purchased fabric (except apparel contractors) Arm bands, elastic, cut and sewn from purchased fabric (except apparel contractors) Ascots, men's and boys', cut and sewn from purchased fabric (except apparel contractors) Baseball caps cut and sewn from purchased fabric (except apparel contractors) Bathing caps, rubber, manufacturing Belts, apparel (e.g., fabric, leather, vinyl), cut and sewn from purchased fabric (except apparel contractors) Belts, money, any material, cut and sewn from purchased fabric (except apparel contractors) Bibs and aprons, waterproof (e.g., plastics, rubber, similar materials), cut and sewn from purchased fabric (except apparel contractors) Bibs and aprons, waterproof (e.g., plastics, rubber, similar materials), rubberizing fabric and manufacturing bibs and aprons Bow ties, men's and boys', cut and sewn from purchased fabric (except apparel contractors) Caps (except fur, leather) cut and sewn from purchased fabric (except apparel contractors) Caps (i.e., apparel accessory) cut and sewn from purchased fabric (except fur, leather, apparel contractors) Caps, textiles, straw, fur-felt, and wool-felt, cut and sewn from purchased fabric (except apparel contractors) Chauffeurs' hats and caps cut and sewn from purchased fabric (except apparel contractors) Coat trimmings fabric cut and sewn from purchased fabric (except apparel contractors) Cummerbunds cut and sewn from purchased fabric (except apparel contractors) Dress and semidress gloves cut and sewn from purchased fabric (except apparel contractors) Dress trimmings cut and sewn from purchased fabric (except apparel contractors) Findings, suit and coat (e.g., coat fronts, pockets), cut and sewn from purchased fabric (except apparel contractors) Glove linings (except fur) manufacturing Gloves and mittens (except athletic), leather, fabric, fur, or combinations, cut and sewn from purchased fabric (except apparel contractors) Gloves and mittens, woven or knit, cut and sewn from purchased fabric (except apparel contractors), manufacturing Gloves, leather (except athletic, cut and sewn apparel contractors), manufacturing Handkerchiefs (except paper) cut and sewn from purchased fabric Harvest hats, straw, manufacturing Hat bodies (e.g., fur-felt, straw, wool-felt) cut and sewn from purchased fabric (except apparel contractors) Hat findings cut and sewn from purchased fabric (except apparel contractors) Hat linings and trimmings cut and sewn from purchased fabric (except apparel contractors) Hats (except fur, knitting mill products, leather) cut and sewn from purchased fabric (except apparel contractors) Hats, cloth, cut and sewn from purchased fabric (except apparel contractors) Hats, fur-felt, straw, and wool-felt, cut and sewn from purchased fabric (except apparel contractors) Hats, trimmed, cut and sewn from purchased fabric (except apparel contractors) Headbands, women's and girls', cut and sewn from purchased fabric (except apparel contractors) Knit gloves cut and sewn from purchased fabric (except apparel contractors) Leather gloves or mittens (except athletic, cut and sewn apparel contractors) manufacturing Linings, hat, men's, cut and sewn from purchased fabric (except apparel contractors) Millinery cut and sewn from purchased fabric (except apparel contractors) Millinery trimmings cut and sewn from purchased fabric (except apparel contractors) Mittens cut and sewn from purchased fabric (except apparel contractors) Mittens, leather (except apparel contractors), manufacturing Mittens, woven or knit, cut and sewn from purchased fabric (except apparel contractors) Mufflers cut and sewn from purchased fabric (except apparel contractors) Neckties cut and sewn from purchased fabric (except apparel contractors) Neckwear cut and sewn from purchased fabric (except apparel contractors) Opera hats cut and sewn from purchased fabric (except apparel contractors) Panama hats cut and sewn from purchased fabric (except apparel contractors) Police caps and hats (except protective head gear) cut and sewn from purchased fabric (except apparel contractors) Scarves cut and sewn from purchased fabric (except apparel contractors) Straw hats manufacturing Suit trimmings cut and sewn from purchased fabric (except apparel contractors) Suspenders cut and sewn from purchased fabric (except apparel contractors) Ties, men's and boys' hand sewn (except apparel contractors), manufacturing Uniform hats and caps cut and sewn from purchased fabric (except apparel contractors) Work gloves, leather (except apparel contractors), manufacturing","Cutting and/or sewing materials owned by others for apparel accessories--are classified in Industry 315210, Cut and Sew Apparel Contractors; Manufacturing paper hats and caps--are classified in U.S. Industry 322299, All Other Converted Paper Product Manufacturing; Manufacturing plastics or rubber hats and caps (except bathing caps)--are classified in Subsector 326, Plastics and Rubber Products Manufacturing; Manufacturing athletic gloves, such as boxing gloves, baseball gloves, golf gloves, batting gloves, and racquetball gloves--are classified in Industry 339920, Sporting and Athletic Goods Manufacturing; Manufacturing metal fabric, metal mesh, or rubber gloves--are classified in U.S. Industry 339113, Surgical Appliance and Supplies Manufacturing; Knitting apparel, mittens, gloves, hats, and caps or knitting fabric and manufacturing apparel, mittens, gloves, hats, and caps--are classified in Industry Group 3151, Apparel Knitting Mills; Cutting and/or sewing materials owned by others for apparel--are classified in Industry 315210, Cut and Sew Apparel Contractors; Manufacturing men's and boys' underwear and outerwear from purchased fabric--are classified in Industry 315220, Men's and Boys' Cut and Sew Apparel Manufacturing; Manufacturing women's, girls', and infants’ underwear and outerwear from purchased fabric--are classified in Industry 315240, Women's, Girls', and Infants’ Cut and Sew Apparel Manufacturing; and Manufacturing other apparel from purchased fabric and manufacturing fur and leather apparel--are classified in Industry 315280, Other Cut and Sew Apparel Manufacturing."
316110,Leather and Hide Tanning and Finishing,"This industry comprises establishments primarily engaged in one or more of the following: (1) tanning, currying, and finishing hides and skins; (2) having others process hides and skins on a contract basis; and (3) dyeing or dressing furs.
","Bag leather manufacturing Belting butts, curried or rough, manufacturing Belting leather, manufacturing Bookbinder's leather manufacturing Bridle leather manufacturing Buffings, russet, manufacturing Case leather manufacturing Chamois leather manufacturing Collar leather, manufacturing Coloring leather Converters, leather Currying furs Currying leather Cutting of leather Dressing (i.e., bleaching, blending, currying, scraping, tanning) furs Dressing hides Dyeing furs Dyeing leather Embossing leather Exotic leathers manufacturing Fancy leathers manufacturing Finishing hides and skins on a contract basis Finishing leather Fleshers, leather (i.e., flesh side of split leather), manufacturing Fur stripping Furs, dressed (e.g., bleached, curried, dyed, scraped, tanned), manufacturing Garment leather manufacturing Glove leather manufacturing Handbag leather manufacturing Harness leather manufacturing Hides and skins, finishing on a contract basis Hides, tanning, currying, dressing, and finishing Japanning of leather Lace leather manufacturing Latigo leather manufacturing Leather coloring, cutting, embossing, and japanning Leather converters Leather tanning, currying, and finishing Lining leather manufacturing Mechanical leather manufacturing Parchment leather manufacturing Patent leather manufacturing Pelts bleaching, currying, dyeing, scraping, and tanning Rawhide manufacturing Roller leather manufacturing Saddlery leather manufacturing Shearling (i.e., prepared sheepskin) manufacturing Skins, tanning, currying and finishing Skirting leather manufacturing Skivers, leather, manufacturing Sole leather manufacturing Specialty leathers manufacturing Splits, leather, manufacturing Strap leather manufacturing Sweatband leather manufacturing Tannery leather manufacturing Tanning and currying furs Upholstery leather manufacturing Upper leather manufacturing Vellum leather manufacturing Welting leather manufacturing Wet blues manufacturing",
316210,Footwear Manufacturing ,"This industry comprises establishments primarily engaged in manufacturing footwear (except orthopedic extension footwear).

Illustrative Examples:

Athletic shoes manufacturing
Ballet slippers manufacturing
Cleated athletic shoes manufacturing
Shoes, children's and infants’ (except orthopedic extension), manufacturing
Shoes, men’s (except orthopedic extension), manufacturing
Shoes, women’s (except orthopedic extension), manufacturing


Cross-References.","Arctics, plastics or plastics soled fabric upper, manufacturing Arctics, rubber or rubber soled fabric, manufacturing Athletic shoes manufacturing Athletic shoes, plastics or plastics soled fabric upper, manufacturing Athletic shoes, rubber or rubber soled fabric upper, manufacturing Ballet slippers manufacturing Beach sandals, plastics or plastics soled fabric upper, manufacturing Beach sandals, rubber or rubber soled fabric upper, manufacturing Boots, dress and casual, children's and infants', manufacturing Boots, dress and casual, men's, manufacturing Boots, dress and casual, women's, manufacturing Boots, hiking, children's and infants', manufacturing Boots, hiking, men's, manufacturing Boots, hiking, women's, manufacturing Boots, plastics or plastics soled fabric upper, manufacturing Boots, rubber or rubber soled fabric upper, manufacturing Canvas shoes, plastics soled fabric upper, manufacturing Canvas shoes, rubber soled fabric upper, manufacturing Casual shoes, children's and infants', manufacturing Casual shoes, men's, manufacturing Casual shoes, women's, manufacturing Children's shoes (except orthopedic extension) manufacturing Cleated athletic shoes manufacturing Climbing shoes, plastics or plastics soled fabric upper, manufacturing Climbing shoes, rubber or rubber soled fabric upper, manufacturing Dress shoes, children's and infants', manufacturing Dress shoes, men's, manufacturing Dress shoes, women's, manufacturing Footholds, plastics or plastics soled fabric upper, manufacturing Footholds, rubber or rubber soled fabric upper, manufacturing Footwear, athletic, manufacturing Footwear, children's (except orthopedic extension), manufacturing Footwear, children's, leather or vinyl upper with rubber or plastics soles, manufacturing Footwear, men's (except orthopedic extension), manufacturing Footwear, men's leather or vinyl upper with rubber or plastics soles, manufacturing Footwear, plastics or plastics soled fabric uppers, manufacturing Footwear, women's (except orthopedic extension), manufacturing Footwear, women's leather or vinyl upper with rubber or plastics soles, manufacturing Gaiters, plastics or plastics soled fabric upper, manufacturing Gaiters, rubber or rubber soled fabric upper, manufacturing Galoshes, plastics or plastics soled fabric upper, manufacturing Galoshes, rubber, or rubber soled fabric upper, manufacturing Golf shoes, men's cleated, manufacturing Golf shoes, women's cleated, manufacturing House slippers manufacturing House slippers, plastics or plastics soled fabric upper, manufacturing House slippers, rubber or rubber soled fabric upper, manufacturing Infant's shoes manufacturing Leather footwear manufacturing Leather footwear, men's, manufacturing Leather footwear, slippers, manufacturing Leather footwear, women's, manufacturing Leather house slippers manufacturing Leather upper athletic footwear manufacturing Moccasins manufacturing Orthopedic shoes (except extension shoes), children's, manufacturing Orthopedic shoes (except extension shoes), men's, manufacturing Orthopedic shoes (except extension shoes), women's, manufacturing Overshoes, plastics or plastics soled fabric upper, manufacturing Overshoes, rubber, or rubber soled fabric, manufacturing Pacs, plastics or plastics soled fabric upper, manufacturing Pacs, rubber or rubber soled fabric upper, manufacturing Protective footwear, plastics or plastics soled fabric upper, manufacturing Protective footwear, rubber or rubber soled fabric upper, manufacturing Pumps (i.e., dress shoes) manufacturing Sandals, children's, manufacturing Sandals, men's footwear, manufacturing Sandals, plastics or plastics soled fabric upper, manufacturing Sandals, rubber or rubber soled fabric upper, manufacturing Sandals, women's footwear, manufacturing Shoes, athletic, manufacturing Shoes, ballet, manufacturing Shoes, children's and infant's (except orthopedic extension), manufacturing Shoes, cleated or spiked, all materials, manufacturing Shoes, men's (except orthopedic extension), manufacturing Shoes, plastics or plastics soled fabric upper, manufacturing Shoes, rubber or rubber soled fabric upper, manufacturing Shoes, theatrical, manufacturing Shoes, women's (except orthopedic extension), manufacturing Shoes, wooden, manufacturing Shower sandals or slippers, rubber, manufacturing Slipper socks made from purchased socks Slippers, ballet, manufacturing Slippers, house, manufacturing Socks, slipper, made from purchased socks Vinyl upper athletic footwear manufacturing Water shoes, plastics or plastics soled fabric upper, manufacturing Water shoes, rubber or rubber soled fabric upper, manufacturing Work shoes manufacturing","Establishments primarily engaged in manufacturing orthopedic extension footwear are classified in U.S. Industry 339113, Surgical Appliance and Supplies Manufacturing."
316992,Women's Handbag and Purse Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing women's handbags and purses of any material (except precious metal).

Cross-References.","Handbags, women's, all materials (except precious metal), manufacturing Leather handbags and purses manufacturing Purses (except precious metal), women's, manufacturing","Establishments primarily engaged in manufacturing precious metal handbags and purses are classified in Industry 339910, Jewelry and Silverware Manufacturing."
316998,All Other Leather Good and Allied Product Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing leather products (except footwear, handbags, purses, and apparel) from purchased leather or leather substitutes (e.g., fabric, plastics).

Illustrative Examples:

Billfolds, all materials, manufacturing
Boot and shoe cut stock and findings, leather, manufacturing
Coin purses (except metal) manufacturing
Dog furnishings (e.g., collars, leashes, harnesses, muzzles) manufacturing
Key cases (except metal) manufacturing 
Leather belting for machinery (e.g., flat, solid, twisted, built-up) manufacturing
Luggage, all materials, manufacturing
Shoe soles, leather, manufacturing
Toilet kits and cases (except metal) manufacturing
Watch bands (except metal) manufacturing
Welders' jackets, leggings, and sleeves, leather, manufacturing 


Cross-References. Establishments primarily engaged in--","Aprons for textile machinery, leather, manufacturing Aprons, leather (e.g., blacksmith's, welder's), manufacturing Attache cases, all materials, manufacturing Bags (i.e., luggage), all materials, manufacturing Bags, athletic, manufacturing Belt laces, leather, manufacturing Belting for machinery, leather, manufacturing Belts, leather safety, manufacturing Billfolds, all materials, manufacturing Binocular cases manufacturing Blacksmith's aprons, leather, manufacturing Boot and shoe cut stock and findings, leather, manufacturing Bows, shoe, leather, manufacturing Box toes (i.e., shoe cut stock), leather, manufacturing Boxes, hat (except paper or paperboard), manufacturing Boxes, leather, manufacturing Briefcases, all materials, manufacturing Camera carrying bags, all materials, manufacturing Caps, heel and toe, leather, manufacturing Card cases (except metal) manufacturing Cases, jewelry (except metal), manufacturing Cases, luggage, manufacturing Cases, musical instrument, manufacturing Checkbook covers (except metal) manufacturing Cigar cases (except metal) manufacturing Cigarette cases (except metal) manufacturing Clasps, shoe (leather), manufacturing Coin purses (except metal) manufacturing Collars and collar pads (i.e., harness) manufacturing Collars, dog, manufacturing Comb cases (except metal) manufacturing Compacts, solid leather, manufacturing Corners, luggage, leather, manufacturing Cosmetic bags (except metal) manufacturing Counters (i.e., shoe cut stock), leather, manufacturing Crops, riding, manufacturing Cut stock for boots and shoes manufacturing Desk sets, leather, manufacturing Dog furnishings (e.g., collars, harnesses, leashes, muzzles) manufacturing Eyeglass cases, all materials, manufacturing Feed bags for horses manufacturing Findings, boot and shoe, manufacturing Handbags (except metal), men's, manufacturing Handles (e.g., luggage, whip), leather, manufacturing Harnesses and harness parts, leather, manufacturing Harnesses, dog, manufacturing Heel caps, leather or metal, manufacturing Heel lifts, leather, manufacturing Heels, boot and shoe, leather, manufacturing Holsters, leather, manufacturing Horse boots and muzzles manufacturing Inner soles, leather, manufacturing Jackets, welder's, leather, manufacturing Key cases (except metal) manufacturing Laces (e.g., shoe), leather, manufacturing Lashes (i.e., whips) manufacturing Leashes, dog, manufacturing Leather belting manufacturing Leather cut stock for shoe and boot manufacturing Leather goods, small personal (e.g., coin purses, eyeglass cases, key cases), manufacturing Leather luggage manufacturing Leather welting manufacturing Leggings, welder's, leather, manufacturing Lifts, heel, leather, manufacturing Linings, boot and shoe, leather, manufacturing Luggage, all materials, manufacturing Mill strapping for textile mills, leather, manufacturing Musical instrument cases, all materials, manufacturing Novelties, leather (e.g., cigarette lighter covers, key fobs), manufacturing Pegs, leather shoe, manufacturing Personal leather goods (e.g., coin purses, eyeglass cases, key cases), small, manufacturing Purses (except precious metal), men's, manufacturing Quarters (i.e., shoe cut stock), leather, manufacturing Rands (i.e., shoe cut stock), leather, manufacturing Razor strops manufacturing Riding crops manufacturing Saddles and parts, leather, manufacturing Safety belts, leather, manufacturing Sample cases, all materials, manufacturing Satchels, all materials, manufacturing Seatbelts, leather, manufacturing Sewing cases (except metal) manufacturing Shanks, shoe, leather, manufacturing Shoe kits (i.e., cases), all materials, manufacturing Shoe soles, leather, manufacturing Sleeves, welder's, leather, manufacturing Soles, boot and shoe, leather, manufacturing Spats, leather, manufacturing Stays, shoe, leather, manufacturing Straps, leather, manufacturing Straps, watch (except metal), manufacturing Suitcases, all materials, manufacturing Taps, shoe, leather, manufacturing Textile leathers (e.g., apron picker leather, mill strapping) manufacturing Tips, shoe, leather, manufacturing Tobacco pouches (except metal) manufacturing Toe caps, leather, manufacturing Toilet kits and cases (except metal) manufacturing Tongues, boot and shoe, leather, manufacturing Top lifts, boot and shoe, leather, manufacturing Transmission belting, leather, manufacturing Traveling bags, all materials, manufacturing Trimmings, shoe, leather, manufacturing Trunks (i.e., luggage), all materials, manufacturing Uppers (i.e., shoe cut stock), leather, manufacturing Valises, all materials, manufacturing Vamps, leather, manufacturing Vanity cases, leather, manufacturing Wallets (except metal) manufacturing Wardrobe bags (i.e., luggage) manufacturing Watch bands (except metal) manufacturing Welders' aprons, leather, manufacturing Welders' jackets, leggings, and sleeves, leather, manufacturing Whips, horse, manufacturing Whipstocks manufacturing","Manufacturing handbags and purses--are classified in U.S. Industry 316992, Women’s Handbag and Purse Manufacturing; Manufacturing leather apparel--are classified in Industry 315280, Other Cut and Sew Apparel Manufacturing; Manufacturing leather gloves, mittens, belts, and apparel accessories--are classified in Industry 315990, Apparel Accessories and Other Apparel Manufacturing; Manufacturing footwear--are classified in Industry 316210, Footwear Manufacturing; Manufacturing nonleather soles--are classified elsewhere based on the primary input material; Manufacturing small articles made of metal carried on or about the person--are classified in Industry 339910, Jewelry and Silverware Manufacturing; and Manufacturing leather gaskets--are classified in U.S. Industry 339991, Gasket, Packing, and Sealing Device Manufacturing."
321113,Sawmills ,"This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--","Beams, wood, made from logs or bolts Boards, wood, made from logs or bolts Ceiling lumber, made from logs or bolts Chipper mills (except portable) Custom sawmills Dimension lumber, hardwood, made from logs or bolts Dimension lumber, made from logs or bolts Dimension lumber, softwood, made from logs or bolts Flitches (i.e., veneer stock) made in sawmills Lumber (i.e., rough, dressed) made from logs or bolts Lumber, hardwood dimension, made from logs or bolts Lumber, softwood dimension, made from logs or bolts Poles, wood, made from log or bolts Pressure treated lumber made from logs or bolts and treated Sawdust and shavings (i.e., sawmill byproducts) manufacturing Sawed lumber made in sawmills Sawmills Shakes (i.e., hand split shingles) manufacturing Shingle mills, wood Shingles, wood, sawed or hand split, manufacturing Siding mills, wood Siding, dressed lumber, manufacturing Stud mills Ties, railroad, made from logs or bolts Ties, wood, made from logs or bolts Timbers, made from logs or bolts Wood chips made in sawmills","Planing purchased lumber or manufacturing cut stock or dimension stock (i.e., shapes) from logs or bolts--are classified in Industry 32191, Millwork; Manufacturing veneer from logs or bolts--are classified in Industry 32121, Veneer, Plywood, and Engineered Wood Product Manufacturing; and Operating portable chipper mills in the field--are classified in Industry 113310, Logging."
321114,Wood Preservation ,"This U.S. industry comprises establishments primarily engaged in (1) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives, such as alkaline copper quat, copper azole, and sodium borates, to prevent decay and to protect against fire and insects and/or (2) sawing round wood poles, pilings, and posts and treating them with preservatives.

Cross-References.","Bridge and trestle parts, wood, treating Creosoting of wood Crossties, treating Flooring, wood block, treating Millwork, treating Mine props, treating Mine ties, wood, treated, manufacturing Pilings, foundation and marine construction, treating Pilings, round wood, cutting and treating Pilings, wood, treating Poles, round wood, cutting and treating Poles, wood, treating Posts, round wood, cutting and treating Posts, wood, treating Preserving purchased wood and wood products Pressure treated lumber made from purchased lumber Railroad ties (i.e., bridge, cross, switch) treating Structural lumber and timber, treating Ties, wood railroad bridge, cross, and switch, treating Timber, structural, treating Treating purchased wood and wood products Treating wood products with creosote or other preservatives Trestle parts, wood, treating Wood fence (i.e., pickets, poling, rails), treating Wood products, creosoting purchased wood products","Establishments primarily engaged in manufacturing wood products (except round wood poles, pilings, and posts) and treating them with preservatives are classified elsewhere in Subsector 321, Wood Product Manufacturing, based on the related production process."
321211,Hardwood Veneer and Plywood Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing hardwood veneer and/or hardwood plywood.

Cross-References. Establishments primarily engaged in--","Hardwood plywood composites manufacturing Hardwood veneer or plywood manufacturing Panels, hardwood plywood, manufacturing Plywood, faced with nonwood materials, hardwood, manufacturing Plywood, hardwood faced, manufacturing Plywood, hardwood, manufacturing Prefinished hardwood plywood manufacturing Veneer mills, hardwood","Manufacturing veneer and further processing that veneer into wood containers or wood container parts--are classified in Industry 321920, Wood Container and Pallet Manufacturing; Manufacturing softwood veneer and softwood plywood--are classified in U.S. Industry 321212, Softwood Veneer and Plywood Manufacturing; and Manufacturing reconstituted wood sheets and boards--are classified in U.S. Industry 321219, Reconstituted Wood Product Manufacturing."
321212,Softwood Veneer and Plywood Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing softwood veneer and/or softwood plywood.

Cross-References. Establishments primarily engaged in--","Panels, softwood plywood, manufacturing Plywood, faced with nonwood materials, softwood, manufacturing Plywood, softwood faced, manufacturing Plywood, softwood, manufacturing Prefinished softwood plywood manufacturing Softwood plywood composites manufacturing Softwood veneer or plywood manufacturing Veneer mills, softwood","Manufacturing veneer and further processing that veneer into wood containers or wood container parts--are classified in Industry 321920, Wood Container and Pallet Manufacturing; Manufacturing hardwood veneer and hardwood plywood--are classified in U.S. Industry 321211, Hardwood Veneer and Plywood Manufacturing; and Manufacturing reconstituted wood sheets and boards--are classified in U.S. Industry 321219, Reconstituted Wood Product Manufacturing."
321213,Engineered Wood Member (except Truss) Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing fabricated or laminated wood arches and/or other fabricated or laminated wood structural members.

Illustrative Examples:

Finger joint lumber manufacturing
I-joists, wood, fabricating
Laminated veneer lumber (LVL) manufacturing
Parallel strand lumber manufacturing
Timbers, structural, glue laminated or pre-engineered wood, manufacturing


Cross-References. Establishments primarily engaged in--","Arches, glue laminated or pre-engineered wood, manufacturing Fabricated structural wood members (except trusses) manufacturing Finger joint lumber manufacturing I-joists, wood, fabricating Laminated structural wood members (except trusses) manufacturing Laminated veneer lumber (LVL) manufacturing Lumber, parallel strand, manufacturing LVL (laminated veneer lumber) manufacturing Parallel strand lumber manufacturing Structural members, glue laminated or pre-engineered wood, manufacturing Structural wood members (except trusses), fabricated, manufacturing Timbers, structural, glue laminated or pre-engineered wood, manufacturing Wood I-joists manufacturing","Manufacturing prefabricated wood buildings or wood sections and panels for buildings--are classified in U.S. Industry 321992, Prefabricated Wood Building Manufacturing; Manufacturing wood trusses--are classified in U.S. Industry 321214, Truss Manufacturing; and Manufacturing solid wood structural members, such as dimension lumber and timber from logs or bolts--are classified in U.S. Industry 321113, Sawmills."
321214,Truss Manufacturing ,"This U.S. industry comprises establishments primarily engaged in manufacturing laminated or fabricated wood roof and floor trusses.

Cross-References.","Floor trusses, wood, manufacturing Roof trusses, wood, manufacturing Trusses, glue laminated or pre-engineered wood, manufacturing Trusses, wood roof or floor, manufacturing Trusses, wood, glue laminated or metal connected, manufacturing","Establishments primarily engaged in manufacturing wood I-joists are classified in U.S. Industry 321213, Engineered Wood Member (except Truss) Manufacturing."
